mass,radius
1.5,18.28067051
2,5.968571998
3,3.727433079
4,3.220828724
5,3.018451505
8,2.845351295
10,2.829850888
12,2.838187107
16,2.879888931
20,2.931265686
32,3.072760399
64,3.321884296
,
