date keplerian stellar stellar+keplerian GP_variance
9032.04305905 0.67196441 -3.07305713 -2.40109272 5.26533676
9032.15593446 3.55449429 -3.03127679 0.52321750 5.21345156
9032.26880987 2.80407458 -2.98568751 -0.18161293 5.16184146
9032.38168528 -0.81231164 -2.93589798 -3.74820962 5.11112537
9032.49456069 -3.59845676 -2.88153057 -6.47998733 5.06196868
9032.60743610 -2.70671948 -2.82222838 -5.52894786 5.01506881
9032.72031151 0.95148038 -2.75766234 -1.80618196 4.97113724
9032.83318692 3.63719865 -2.68753805 0.94966059 4.93087842
9032.94606233 2.60543751 -2.61160232 -0.00616481 4.89496603
9033.05893774 -1.08926872 -2.52964919 -3.61891791 4.86401789
9033.17181315 -3.67066374 -2.44152542 -6.11218916 4.83857040
9033.28468856 -2.50037561 -2.34713529 -4.84751090 4.81905439
9033.39756397 1.22547677 -2.24644462 -1.02096785 4.80577378
9033.51043938 3.69880349 -2.13948400 1.55931949 4.79888883
9033.62331479 2.39168620 -2.02635108 0.36533512 4.79840524
9033.73619020 -1.35990692 -1.90721208 -3.26711899 4.80417006
9033.84906561 -3.72157706 -1.78230235 -5.50387942 4.81587489
9033.96194102 -2.27952697 -1.65192614 -3.93145311 4.83306612
9034.07481643 1.49236413 -1.51645549 -0.02409136 4.85516143
9034.18769184 3.73895143 -1.37632845 2.36262298 4.88147141
9034.30056725 2.16406064 -1.23204656 0.93201408 4.91122480
9034.41344266 -1.62265625 -1.08417173 -2.70682798 4.94359562
9034.52631807 -3.75090139 -0.93332258 -4.68422397 4.97773100
9034.63919348 -2.04545472 -0.78017027 -2.82562499 5.01277799
9034.75206889 1.75059423 -0.62543393 1.12516030 5.04790867
9034.86494430 3.75740959 -0.46987572 3.28753387 5.08234251
9034.97781971 1.92388128 -0.31429554 1.60958574 5.11536583
9035.09069512 -1.87599249 -0.15952543 -2.03551792 5.14634778
9035.20357053 -3.75846660 -0.00642375 -3.76489035 5.17475308
9035.31644594 -1.79951671 0.14413105 -1.65538566 5.20015142
9035.42932135 1.99866908 0.29124679 2.28991587 5.22222370
9035.54219676 3.75407088 0.43402432 4.18809520 5.24076535
9035.65507217 1.67254142 0.57156451 2.24410593 5.25568675
9035.76794758 -2.11844603 0.70297554 -1.41547049 5.26701110
9035.88082299 -3.74422881 0.82738055 -2.91684826 5.27486978
9035.99369840 -1.54313963 0.94392551 -0.59921412 5.27949530
9036.10657381 2.23514957 1.05178743 3.28693700 5.28121202
9036.21944922 3.72895467 1.15018276 4.87913743 5.28042476
9036.33232463 1.41149909 1.23837603 2.64987511 5.27760539
9036.44520004 -2.34861039 1.31568863 -1.03292176 5.27327765
9036.55807545 -3.70827061 1.38150763 -2.32676298 5.26800038
9036.67095086 -1.27781075 1.43529454 0.15748379 5.26234962
9036.78382627 2.45866388 1.47659396 3.93525784 5.25689989
9036.89670169 3.68220666 1.50504191 5.18724857 5.25220527
9037.00957710 1.14226859 1.52037376 2.66264235 5.24878095
9037.12245251 -2.56515038 1.52243155 -1.04271883 5.24708583
9037.23532792 -3.65080061 1.51117066 -2.13962995 5.24750707
9037.34820333 -1.00506925 1.48666553 0.48159628 5.25034712
9037.46107874 2.66791539 1.44911437 4.11702976 5.25581406
9037.57395415 3.61409804 1.39884269 5.01294073 5.26401554
9037.68682956 0.86641176 1.33630556 2.20271732 5.27495679
9037.79970497 -2.76680984 1.26208831 -1.50472152 5.28854259
9037.91258038 -3.57215218 1.17690581 -2.39524638 5.30458320
9038.02545579 -0.72649730 1.08159994 0.35510264 5.32280377
9038.13833120 2.86169023 0.97713547 3.83882570 5.34285665
9038.25120661 3.52502390 0.86459408 4.38961798 5.36433600
9038.36408202 0.58552885 0.74516653 1.33069538 5.38679378
9038.47695743 -2.95241893 0.62014309 -2.33227585 5.40975651
9038.58983284 -3.47278157 0.49090204 -2.98187953 5.43274199
9038.70270825 -0.44371092 0.35889653 -0.08481439 5.45527528
9038.81558366 3.03886431 0.22563964 3.26450395 5.47690360
9038.92845907 3.41550098 0.09268792 3.50818890 5.49720945
9039.04133448 0.30124926 -0.03837663 0.26287263 5.51582188
9039.15420989 -3.12090094 -0.16596570 -3.28686664 5.53242559
9039.26708530 -3.35326523 -0.28850514 -3.64177037 5.54676775
9039.37996071 -0.15835055 -0.40445608 -0.56280662 5.55866249
9039.49283612 3.19840982 -0.51233681 2.68607301 5.56799318
9039.60571153 3.28616461 -0.61074492 2.67541969 5.57471236
9039.71858694 0.01522211 -0.69837945 -0.68315734 5.57883966
9039.83146235 -3.27127849 -0.77406264 -4.04534113 5.58045767
9039.94433776 -3.21429648 -0.83676106 -4.05105754 5.57970605
9040.05721317 0.12792842 -0.88560547 -0.75767705 5.57677406
9040.17008858 3.33940124 -0.91990933 2.41949191 5.57189172
9040.28296399 3.13776509 -0.93918526 2.19857983 5.56532001
9040.39583940 -0.27089334 -0.94315923 -1.21405258 5.55734031
9040.50871481 -3.40267924 -0.93178202 -4.33446126 5.54824361
9040.62159022 -3.05668148 -0.90523760 -3.96191908 5.53831963
9040.73446563 0.41346526 -0.86394813 -0.45048287 5.52784665
9040.84734104 3.46102068 -0.80857525 2.65244543 5.51708201
9040.96021645 2.97116328 -0.74001742 2.23114586 5.50625407
9041.07309186 -0.55543734 -0.65940328 -1.21484062 5.49555568
9041.18596727 -3.51434092 -0.56808078 -4.08242171 5.48513955
9041.29884268 -2.88133456 -0.46760218 -3.34893674 5.47511572
9041.41171809 0.69660359 -0.35970500 0.33689858 5.46555110
9041.52459350 3.56256261 -0.24628908 3.31627353 5.45647115
9041.63746891 2.78732564 -0.12939006 2.65793559 5.44786339
