#time rv erv jitter rvnoplanet tlab
9069.67440000 3.91471974 2.43000000 2.44045976 -0.45531632 0
9073.67030000 3.73421974 4.91000000 4.91518503 1.20095727 0
9095.67130000 5.46281974 2.14000000 2.15186985 -0.08330400 0
9097.67490000 14.10041974 2.81000000 2.81905017 -0.11723517 0
9098.67540000 10.61251974 1.78000000 1.79425300 1.10846658 0
9099.66930000 8.04361974 2.13000000 2.14192527 -1.72021314 0
9101.68590000 -1.55118026 2.63000000 2.63966737 -0.69615791 0
9102.68450000 -9.14848026 3.71000000 3.71685941 -1.15860458 0
9103.67770000 -3.67718026 1.84000000 1.85379175 0.64496494 0
9114.71060000 9.78861974 3.26000000 3.26780413 2.00512737 0
9118.69660000 1.46121974 2.46000000 2.47033274 -2.16387871 0
9120.67460000 -3.69208026 1.95000000 1.96301906 1.21269003 0
9121.63520000 -6.99098026 1.90000000 1.91335931 0.59346861 0
9122.68410000 -3.83498026 1.82000000 1.83394216 -0.60838562 0
9127.68770000 -0.99318026 2.61000000 2.61974118 0.16538144 0
9128.62230000 -2.02678026 1.83000000 1.84386655 -0.61073513 0
9131.67230000 1.00961974 1.81000000 1.82401860 0.53369801 0
9132.67020000 12.29031974 2.80000000 2.80908238 1.75479470 0
9138.64850000 -0.63148026 3.33000000 3.33764046 1.81217730 0
9139.44640000 -8.80518026 2.91000000 2.91874011 -1.53687705 0
9139.54690000 -8.80518026 1.66000000 1.67527426 0.80676916 0
9139.62410000 -9.96768026 2.93000000 2.93868063 -0.32892811 0
9139.72920000 -7.35168026 1.91000000 1.92328985 -0.18579818 0
9140.51960000 -2.31298026 1.54000000 1.55645233 -0.35704872 0
9140.59650000 -1.28318026 1.65000000 1.66536598 -0.33965772 0
9140.69630000 -3.81708026 1.72000000 1.73474605 -1.71330744 0
9141.51710000 -3.78748026 2.80000000 2.80908238 -0.73111022 0
9141.57920000 -3.78748026 2.78000000 2.78914751 -0.16812293 0
9141.63970000 -3.41028026 3.00000000 3.00847866 -0.31694582 0
9141.70270000 0.40691974 2.59000000 2.59981612 1.91245543 0
9142.51870000 8.05611974 2.74000000 2.74928060 1.87145288 0
9146.51840000 -0.43058026 2.91000000 2.91874011 0.09483319 0
9146.60250000 1.11331974 1.98000000 1.99282308 0.64716320 0
9147.40800000 -3.27098026 2.12000000 2.13198120 0.10285736 0
9147.51260000 -7.23408026 2.86000000 2.86889244 -0.56279271 0
9149.41080000 0.25801974 2.95000000 2.95862195 -1.61868772 0
9149.50240000 -2.68548026 2.48000000 2.49024975 -2.23220022 0
9149.59150000 -2.68548026 2.76000000 2.76921358 -0.89120141 0
9149.69620000 -2.75768026 3.95000000 3.95644333 -2.15583962 0
9150.38950000 2.14971974 2.30000000 2.31104821 -2.16244476 0
9151.62390000 10.17281974 1.78000000 1.79425300 0.83285406 0
9151.73090000 10.68311974 1.97000000 1.98288775 -0.32929964 0
9152.46450000 15.44251974 1.74000000 1.75457797 1.56595496 0
9153.38200000 14.97501974 2.40000000 2.41058994 0.49309950 0
9153.47170000 10.75541974 2.05000000 2.06238790 -0.80057954 0
9154.49920000 6.47291974 1.76000000 1.77441366 0.14380095 0
9154.62010000 8.17471974 1.73000000 1.74466153 0.04135294 0
