#date rv rv_err inst
9188.868942 0.0094809 0.0037335 IRD
9188.879625 0.0094809 0.0051192 IRD
9188.956892 0.0072906 0.0030607 IRD
9188.971098 0.0072906 0.003456 IRD
9188.985306 0.0072906 0.0030533 IRD
9189.797707 0.0001286 0.0031819 IRD
9189.808401 0.0001286 0.0031776 IRD
9189.867771 0.0001286 0.0031258 IRD
9189.878453 0.0001286 0.0030828 IRD
9242.89031 -0.0001305 0.0041009 IRD
9242.900989 -0.0001305 0.0040777 IRD
9242.911671 -0.0001305 0.0040778 IRD
9242.92235 -0.0001305 0.0042337 IRD
9242.933034 -0.0001305 0.0037677 IRD
9242.943732 -0.0001305 0.0040372 IRD
9244.837372 -0.0072374 0.003987 IRD
9244.848051 -0.0072374 0.0037792 IRD
9244.858748 -0.0072374 0.0037639 IRD
9244.928065 -0.0044177 0.0037607 IRD
9244.938749 -0.0044177 0.0038041 IRD
9247.74093 -0.008882 0.0048847 IRD
9247.749498 -0.008882 0.0045952 IRD
9247.758065 -0.008882 0.0046846 IRD
9247.766649 -0.008882 0.0052907 IRD
