name,period,semiaxis,radius,radius_err1,radius_err2,mass,mass_err1,mass_err2,mass_sigma,teq,st_teff
KOI-94 d,22.342989,0.1684,11.27,1.06,-1.06,106,11,-11,9.636363636,806,6182
KOI-94 e,54.32031,0.3046,6.56,0.62,-0.62,35,18,-28,1.944444444,584,6182
KPS-1 b,1.706291,0.0269,11.545,1.457,-1.345,346.4347,27.33338,-27.65121,12.6744186,1459,5165
L 168-9 b,1.4015,0.02091,1.39,0.09,-0.09,4.6,0.56,-0.56,8.214285714,965,3800
L 98-59 b,2.2531136,0.02191,0.85,0.061,-0.047,0.4,0.16,-0.15,2.5,627,3415
L 98-59 c,3.6906745,,1.34,0.07,-0.07,2.42,0.35,-0.34,6.914285714,,3412
L 98-59 d,7.450729,,1.58,0.08,-0.08,2.31,0.46,-0.45,5.02173913,,3412
LHS 1140 b,24.73694,0.0957,1.635,0.046,-0.046,6.38,0.46,-0.44,13.86956522,379,2988
LHS 1140 c,3.77792,0.02734,1.169,0.037,-0.038,1.76,0.17,-0.16,10.35294118,709,2988
LHS 1478 b,1.9495378,0.01848,1.242,0.051,-0.049,2.33,0.2,-0.2,11.65,595,3381
LHS 1815 b,3.814334,,1.088,0.064,-0.064,1.58,0.64,-0.6,2.46875,,3643
LP 714-47 b,4.052037,0.0417,4.7,0.3,-0.3,30.8,1.5,-1.5,20.53333333,700,3950
LP 791-18 c,4.9899093,0.02961,2.438,0.096,-0.096,7.1,0.7,-0.7,10.14285714,324,2960
LP 791-18 d,2.753436,0.01992,1.032,0.044,-0.043,0.9,0.5,-0.4,1.8,396,2960
LTT 1445 A b,5.3587657,0.03813,1.305,0.066,-0.061,2.87,0.26,0.26,11.03846154,424,3340
LTT 1445 A c,3.1239035,0.02661,1.147,0.055,-0.054,1.54,0.2,-0.19,7.7,508,3340
LTT 3780 b,0.76837883,,1.32,0.06,-0.06,2.47,0.24,-0.24,10.29166667,,3360
LTT 3780 c,12.252196,,2.33,0.14,-0.13,7.02,0.69,-0.67,10.17391304,,3360
LTT 9779 b,0.792052,0.01679,4.72,0.23,-0.23,29.32,0.78,-0.81,37.58974359,1978,5443
Lupus-TR-3 b,3.91405,0.0464,9.976,0.785,-0.785,257.431,57.207,-57.207,4.49999126,,5000
MASCARA-4 b,2.82406,0.047,17.15,0.785,-0.448,985.273,286.047,-286.047,3.444444444,2100,7800
NGTS-1 b,2.647298,0.0326,14.908,6.837,-3.699,258.07796,20.97678,-23.83725,12.3030303,790,3916
NGTS-10 b,0.7668944,0.0143,13.507,1.311,-0.93,687.14846,29.24036,-34.00781,23.5,1332,4600
NGTS-11 b,35.45533,0.201,9.158,0.314,-0.359,109.33352,29.24036,-23.20159,3.739130435,435,5050
NGTS-12 b,7.532806,0.0757,11.747,0.359,-0.359,66.10864,6.99226,-6.99226,9.454545455,1257,5690
NGTS-13 b,4.119027,0.0549,12.801,0.516,-0.516,1538.2972,139.8452,-139.8452,11,1605,5819
NGTS-14 A b,3.5357173,0.0403,4.977,0.336,-0.336,29.24036,3.81396,-3.81396,7.666666667,1143,5187
NGTS-15 b,3.27623,0.0441,12.33,1.121,-1.121,238.68913,32.4185,-27.9689,7.362744421,1146,5600
NGTS-16 b,4.84532,0.0523,14.572,1.457,-1.345,211.99155,49.89906,-40.99986,4.248407685,1177,5550
NGTS-17 b,3.24253,0.0391,13.899,1.233,-1.233,242.8209,61.97654,-52.12386,3.91794863,1457,5650
NGTS-18 b,3.05125,0.0448,13.563,2.018,-2.018,129.99182,25.7441,-20.02319,5.049382965,1381,5610
NGTS-2 b,4.511164,0.063,17.878,0.527,-0.504,235.1942,41.3179,-38.1396,5.692307692,1468,6478
NGTS-20 b,54.18915,0.313,11.994,0.448,-0.448,947.12865,50.85255,-47.67426,18.62499816,688,5980
NGTS-21 b,1.5433897,0.0236,14.908,0.336,-0.336,750.07504,66.74397,-66.74397,11.23809447,1357,4660
NGTS-23 b,4.0764326,0.0504,14.202,0.336,-0.336,194.82881,30.82936,-30.82936,6.319586589,1327,6057
NGTS-24 b,3.4678796,0.0479,13.608,0.65,-0.695,165.27077,38.13941,-34.96112,4.333333159,1499,5820
NGTS-25 b,2.823093,0.0388,11.467,0.392,-0.583,203.09235,18.43405,-16.52708,11.01723984,1101,5321
NGTS-3 A b,1.6753728,0.023,16.589,4.147,-4.147,756.4354,82.6358,-82.6358,9.153846154,,5600
NGTS-4 b,1.3373508,0.019,3.18,0.26,-0.26,20.6,3,-3,6.866666667,1650,5143
NGTS-5 b,3.3569866,0.0382,12.733,0.258,-0.258,72.78307,11.75971,-11.75971,6.189189189,952,4987
NGTS-6 b,0.882059,0.01677,14.863,1.087,-1.255,425.57437,8.89924,-8.89924,47.82142857,1284,4730
NGTS-8 b,2.4997,0.035,12.218,0.336,-0.336,295.5819,12.7132,-9.5349,23.25,1345,5241
NGTS-9 b,4.43527,0.058,11.994,0.673,-0.673,921.707,54.0311,-54.0311,17.05882353,1448,6330
OGLE-TR-10 b,3.101278,0.0434,14.011,1.569,-1.345,197.046,44.494,-44.494,4.428597114,,5950
OGLE-TR-113 b,1.4324752,0.02289,12.251,0.314,-0.213,400.449,50.851,-50.851,7.874948379,,4790
OGLE-TR-132 b,1.689868,0.03035,13.45,1.68,-1.23,375.02,44.49,-41.32,8.429309957,2013,6210
OGLE-TR-182 b,3.9791,0.051,12.666,2.69,-0.897,320.995,47.672,-47.672,6.733407451,,5924
OGLE-TR-211 b,3.67724,0.051,15.244,2.018,-1.009,327.351,63.563,-63.563,5.150024385,,6325
OGLE-TR-56 b,1.2119189,0.02383,15.278,1.031,-1.009,441.77,57.21,-54.03,7.721901765,2212,6050
OGLE2-TR-L9 b,2.4855335,0.0308,18.046,0.448,-0.448,1430.175,476.725,-476.725,3,,6933
POTS-1 b,3.1606296,0.03734,10.548,0.404,-0.527,734.16,244.72,-244.72,3,,4400
Qatar-1 b,1.4200242,0.02332,12.812,0.291,-0.28,411.27202,16.52716,-15.57367,24.88461538,1418,5013
Qatar-10 b,1.645321,0.0286,17.295,0.448,-0.448,233.92288,28.6047,-28.6047,8.177777778,1955,6124
Qatar-2 b,1.33711647,0.02153,14.056,0.146,-0.146,792.635,17.162,-17.162,46.18546789,1344,4645
Qatar-3 b,2.5079204,0.03783,12.285,1.569,-1.569,1369.8473,149.3801,-149.3801,9.170212766,1681,6007
Qatar-4 b,1.8053564,0.02803,12.722,1.233,-1.233,1938.763,171.6282,-171.6282,11.2962963,1385,5215
Qatar-5 b,2.8792319,0.04127,12.408,0.717,-0.717,1373.0256,57.2094,-57.2094,24,1415,5747
Qatar-6 b,3.506195,0.0423,11.904,0.796,-0.796,212.31044,20.97678,-20.97678,10.12121212,1006,5052
Qatar-7 b,2.032046,0.0352,19.055,0.336,-0.336,597.5204,79.4575,-79.4575,7.52,2053,6387
Qatar-8 b,3.71495,0.0474,14.404,0.247,-0.247,117.91493,19.70546,-19.70546,5.983870968,1457,5738
Qatar-9 b,1.540731,0.0234,11.31,0.157,-0.157,378.2177,50.8528,-50.8528,7.4375,1134,4309
SWEEPS-11 b,1.796,0.03,12.666,2.354,-2.354,3082.82,1779.77,-1430.17,1.732145165,,
TIC 172900988 b,200.452,0.90281,11.25,0.44,-0.44,942,5.6,-5.6,168.2142857,,6050
TIC 237913194 b,15.168865,0.1207,12.52,0.605,-0.527,617.22586,29.24036,-28.92253,21.10869565,974,5788
TIC 257060897 b,3.660028,0.051,16.701,0.448,-0.448,212.94503,9.53485,-9.53485,22.33333823,1762,
TIC 279401253 b,76.8,0.369,11.209,0.448,-0.448,1951.46642,123.95308,-133.48793,15.74358959,,5951
TOI-1052 b,9.139703,0.09103,2.87,0.29,-0.24,16.9,1.7,-1.7,9.941176471,1135,6146
TOI-1062 b,4.11296,0.052,2.265,0.096,-0.091,10.15,0.81,-0.84,12.5308642,1077,5328
TOI-1064 b,6.443868,0.06152,2.587,0.043,-0.042,13.5,1.7,-1.8,7.941176471,784,4734
TOI-1064 c,12.226574,0.09429,2.651,0.043,-0.042,2.5,1.8,-2,1.388888889,634,4734
TOI-1075 b,0.6047328,0.01159,1.791,0.116,-0.081,9.95,1.36,-1.3,7.316176471,1323,3875
TOI-1107 b,4.0782387,0.0561,14.572,0.56,-0.56,1064.72516,57.20911,-57.20911,18.61111211,1728,6311
TOI-1130 c,8.350381,0.07098,16.814,3.026,-2.466,309.56642,13.66669,-13.98452,22.65116279,637,4250
TOI-1181 b,2.103195,,14.572,0.897,-0.897,375.03752,44.49598,-44.49598,8.428570851,,5990
TOI-1201 b,2.4919863,0.0287,2.415,0.091,-0.09,6.28,0.84,-0.88,7.476190476,703,3476
TOI-1231 b,24.245586,0.1288,3.65,0.16,-0.15,15.4,3.3,-3.3,4.666666667,330,3553
TOI-1235 b,3.444714,,1.69,0.08,-0.08,6.69,0.67,-0.69,9.985074627,,3997
TOI-1246 b,4.30744,0.049,3.01,0.06,-0.06,8.1,1.1,-1.1,7.363636364,955,5151
TOI-1246 c,5.904144,0.061,2.51,0.08,-0.08,8.8,1.2,-1.2,7.333333333,860,5151
TOI-1246 d,18.6559,0.131,3.51,0.09,-0.09,5.3,1.7,-1.7,3.117647059,586,5151
TOI-1246 e,37.9216,0.211,3.78,0.16,-0.16,14.8,2.3,-2.3,6.434782609,462,5151
TOI-125 b,4.65382,0.05186,2.726,0.075,-0.075,9.5,0.88,-0.88,10.79545455,1037,5320
TOI-125 c,9.15059,0.0814,2.759,0.1,-0.1,6.63,0.99,-0.99,6.696969697,828,5320
TOI-125 d,19.98,0.137,2.93,0.17,-0.17,13.6,1.2,-1.2,11.33333333,638,5320
TOI-1259 A b,3.477978,0.0407,11.456,0.336,-0.303,140.16233,15.57359,-14.93794,9.000001284,963,4775
TOI-1260 b,3.127463,0.0367,2.41,0.05,-0.05,8.56,1.54,-1.54,5.558441558,871,4227
TOI-1260 c,7.493134,0.0657,2.76,0.07,-0.07,13.2,4.23,-4.23,3.120567376,651,4227
TOI-1260 d,16.608164,0.1116,3.12,0.08,-0.08,11.84,7.79,-7.79,1.519897304,499,4227
TOI-1266 b,10.894843,0.0736,2.37,0.16,-0.12,13.5,11,-9,1.227272727,413,3600
TOI-1266 c,18.80151,0.1058,1.56,0.15,-0.13,2.2,2,-1.5,1.1,344,3600
TOI-1268 b,8.1577094,0.0711,9.1,0.6,-0.6,96.4,8.2,-8.3,11.75609756,919,5300
TOI-1272 b,3.31599,0.0412,4.14,0.21,-0.21,24.6,2.3,-2.3,10.69565217,961,4985
TOI-1278 b,14.47567,0.095,12.218,2.69,-2.242,5879.82553,158.9142,-158.9142,37.00000082,,3799
TOI-1288 b,2.699835,,5.24,0.09,-0.09,42,3,-3,14,1266,5225
TOI-1296 b,3.9443715,0.0497,13.798,0.347,-0.347,94.71287,12.39531,-12.39531,7.64102471,1562,5603
TOI-1298 b,4.537164,0.059,9.427,0.235,-0.235,113.14691,10.17051,-10.17051,11.12499865,1388,5889
TOI-132 b,2.1097019,0.026,3.42,0.13,-0.14,22.4,1.9,-1.92,11.78947368,1395,5397
TOI-1333 b,4.720219,0.0626,15.648,0.628,-0.605,753.2571,76.2792,-76.2792,9.875,1679,6274
TOI-1338 b,95.174,0.4607,6.85,0.19,-0.19,33,20.3,-19.6,1.625615764,,6050
TOI-1408 b,4.424711,0.05804,16.813,,,537.13001,63.56568,-63.56568,8.45000022,,6306
TOI-1416 b,1.0697568,0.019,1.62,0.08,-0.08,3.48,0.47,-0.47,7.404255319,1517,4884
TOI-1422 b,12.9972,0.108,3.96,0.13,-0.11,9,2.3,-2,3.913043478,867,5840
TOI-1431 b,2.650237,0.046,16.701,0.56,-0.56,991.62463,57.20911,-57.20911,17.33333432,2370,7690
TOI-1444 b,0.4702694,,1.397,0.064,-0.064,3.87,0.71,-0.71,5.450704225,,5430
TOI-1452 b,11.06201,0.061,1.672,0.071,-0.071,4.82,1.3,-1.3,3.707692308,326,3185
TOI-1468 b,1.8805136,,1.28,0.038,-0.039,3.21,0.24,-0.24,13.375,682,3496
TOI-1468 c,15.532482,,2.064,0.044,-0.044,6.64,0.67,-0.68,9.910447761,338,3496
TOI-1470 b,2.527093,0.0285,2.18,0.04,-0.04,7.32,1.21,-1.24,6.049586777,734,3709
TOI-1470 c,18.08816,0.106,2.47,0.02,-0.02,7.24,2.87,-2.77,2.522648084,373,3709
TOI-1478 b,10.180249,0.0903,11.882,0.448,-0.437,270.47333,16.52716,-14.93801,16.36538462,918,5597
TOI-150.01,5.857487,0.07037,14.067,0.235,-0.213,797.7533,38.1396,-38.1396,20.91666667,1404,6255
TOI-1516 b,2.056014,,15.244,0.336,-0.336,1004.33777,38.13941,-38.13941,26.33333263,,6520
TOI-157 b,2.0845435,0.03138,14.415,0.258,-0.224,375.0394,41.3179,-38.1396,9.076923077,1588,5404
TOI-1601 b,5.331751,0.06864,13.888,0.516,-0.437,314.6517,34.9613,-34.9613,9,1619,5948
TOI-163 b,4.231306,0.058,16.69,0.381,-0.381,387.7526,38.1396,-38.1396,10.16666667,1669,6495
TOI-1634 b,0.9893455,,1.773,0.077,-0.077,7.57,0.71,-0.72,10.66197183,,3472
TOI-1670 c,40.74976,0.249,11.063,0.28,-0.28,200.2319,28.60456,-25.42627,6.999999301,684,6170
TOI-1685 b,0.6691406,,1.7,0.07,-0.07,3.09,0.59,-0.58,5.237288136,1069,3434
TOI-169 b,2.2554477,0.03524,12.173,0.908,-0.538,251.40353,20.34112,-19.0698,12.359375,1715,5880
TOI-1694 b,3.77015,,5.44,0.18,-0.18,26.1,2.2,-2.2,11.86363636,,5066.4
TOI-1695 b,3.1342791,0.033548,1.9,0.16,-0.14,6.36,1,-1,6.36,698,3690
TOI-1710 b,24.283429,0.16,5.34,0.11,-0.11,28.3,4.7,-4.7,6.021276596,,5665
TOI-172 b,9.47725,0.0914,10.817,0.359,-0.325,1722.6386,69.9226,-63.566,24.63636364,1198,5645
TOI-1728 b,3.49151,0.0391,5.05,0.16,-0.17,26.78,5.43,-5.13,4.931860037,767,3980
TOI-1759 b,18.85019,0.1177,3.14,0.1,-0.1,10.8,1.5,-1.5,7.2,443,4065
TOI-178 b,1.914558,0.02607,1.152,0.073,-0.07,1.5,0.39,-0.44,3.846153846,1040,4316
TOI-178 c,3.23845,0.037,1.669,0.114,-0.099,4.77,0.55,-0.68,8.672727273,873,4316
TOI-178 d,6.5577,0.0592,2.572,0.075,-0.078,3.01,0.8,-1.03,3.7625,690,4316
TOI-178 e,9.961881,0.0783,2.207,0.088,-0.09,3.86,1.25,-0.94,3.088,600,4316
TOI-178 f,15.231915,0.1039,2.287,0.108,-0.11,7.72,1.67,-1.52,4.622754491,521,4316
TOI-178 g,20.7095,0.1275,2.87,0.14,-0.13,3.94,1.31,-1.62,3.007633588,470,4316
TOI-1789 b,3.208664,0.04882,16.141,2.69,-1.569,222.47988,50.85255,-50.85255,4.374999484,1927,5991
TOI-181 b,4.532,0.0539,6.956,0.087,-0.101,46.1687,2.71,-7.83,17.03642066,895,4994
TOI-1811 b,3.7130765,0.04389,11.142,0.28,-0.258,308.92921,24.15496,-24.79062,12.78947305,962,4766
TOI-1820 b,4.860674,0.061,12.778,0.224,-0.224,731.00534,63.56568,-63.56568,11.50000031,1375,5734
TOI-1842 b,9.5739,0.1001,11.657,0.673,-0.56,68.01528,12.71314,-12.07748,5.349998505,,6230
TOI-1853 b,1.2436258,0.0213,3.46,0.08,-0.08,73.2,2.7,-2.7,27.11111111,1479,4985
TOI-1899 b,29.02,0.1587,12.89,0.448,-0.56,209.7678,22.2481,-22.2481,9.428571429,362,3841
TOI-1937 A b,0.94667944,0.01932,13.978,0.661,-0.695,638.8351,54.03083,-50.85255,11.82352927,2097,5814
TOI-199 b,104.854,0.4254,9.079,0.056,-0.056,54.03083,6.35657,-6.35657,8.49999764,,5255
TOI-2000 b,3.09833,0.04271,2.7,0.15,-0.15,11,2.4,-2.4,4.583333333,1488,5611
TOI-2000 c,9.127055,0.0878,8.14,0.31,-0.3,81.7,4.7,-4.6,17.38297872,1038,5611
TOI-201 b,52.97818,0.3,11.299,0.135,-0.168,133.4886,15.8915,-9.5349,8.4,759,6394
TOI-2018 b,7.435583,,2.268,0.069,-0.069,9.2,2.1,-2.1,4.380952381,,4174
TOI-2025 b,8.8720982,0.0892,11.893,0.37,-0.347,1144.18227,104.88337,-104.88337,10.9090914,1166,5977
TOI-2046 b,1.4971842,,16.141,1.233,-1.233,731.00534,88.99195,-88.99195,8.214286124,,6250
TOI-2109 b,0.67247414,0.01791,15.098,0.527,-0.527,1595.4986,238.37131,-238.37131,6.693333187,3646,6540
TOI-2136 b,7.851928,0.057,2.19,0.17,-0.17,6.37,2.45,-2.29,2.6,395,3342
TOI-2145 b,10.26075,0.1108,11.982,0.325,-0.314,1671.77742,120.77479,-117.59651,13.84210579,1484,6177
TOI-2152 A b,3.3773512,0.05064,14.359,0.56,-0.516,899.45439,120.77479,-117.59651,7.447368693,1802,6630
TOI-2154 b,3.8240801,0.0513,16.287,0.594,-0.538,292.40213,60.3874,-57.20911,4.842104976,1580,6280
TOI-2158 b,8.60077,0.075,10.761,0.135,-0.135,260.61929,25.42627,-25.42627,10.25000088,1188,5673
TOI-216.01,34.525528,,10.1,0.2,-0.2,177.98391,6.35657,-6.35657,27.99999213,,
TOI-216.02,17.16073,,8,3,-2,18.75188,0.63566,-0.63566,29.49985841,,
TOI-2180 b,260.79,0.828,11.321,0.247,-0.213,875.61726,27.65107,-25.7441,31.66666823,348,5695
TOI-2184 b,6.90683,,11.4,0.572,-0.572,206.58846,50.85255,-50.85255,4.062499521,,5966
TOI-2193 A b,2.1225735,0.03319,19.84,,,298.7587,57.20911,-57.20911,5.222222475,1763,5966
TOI-2196 b,1.1947268,0.02234,3.51,0.15,-0.15,26,1.3,-1.3,20,1860,5634
TOI-220 b,10.695264,0.08911,3.03,0.15,-0.15,13.8,1,-1,13.8,805,5298
TOI-2202 b,11.9101,0.09564,11.321,5.851,-0.897,310.83618,20.02319,-18.68831,15.52380914,,5144
TOI-2207 b,8.001968,0.0854,11.153,0.314,-0.303,203.41018,31.78284,-38.13941,6.400000126,1259,6101
TOI-2236 b,3.5315902,0.05009,14.37,0.359,-0.347,502.16888,127.13136,-123.95308,3.950000063,1688,6248
TOI-2337 b,2.99432,,10.088,1.121,-1.121,508.52545,47.67426,-47.67426,10.66666688,,4780
TOI-2338 b,22.65398,0.158,11.209,0.224,-0.224,1900.61387,66.74397,-63.56568,28.47618849,799,5581
TOI-2364 b,4.0197517,0.04871,8.608,0.258,-0.202,71.51139,13.66662,-15.57359,5.232558599,1091,5306
TOI-2421 b,4.3474032,0.0543,10.368,0.392,-0.381,105.83686,25.10844,-25.10844,4.215190589,1534,5607
TOI-244 b,7.397225,0.0559,1.52,0.12,-0.12,2.68,0.3,-0.3,8.933333333,458,3433
TOI-2497 b,10.655669,0.1166,11.142,0.616,-0.549,1531.93292,130.30965,-130.30965,11.75609727,1595,7360
TOI-2498 b,3.738252,0.0491,6.06,0.29,-0.27,34.62,4.1,-4.09,8.443902439,1443,5905
TOI-2525 b,23.2856,0.1511,8.676,0.112,-0.112,26.69759,1.58914,-1.58914,16.80002391,,5096
TOI-2525 c,49.2519,0.249,10.133,0.112,-0.112,208.81326,9.85268,-10.17051,21.19354937,,5096
TOI-2567 b,5.983944,0.0672,10.929,0.347,-0.325,63.88351,10.80617,-9.85268,5.911762447,1352,5611
TOI-257 b,18.38818,0.1528,7.163,0.146,-0.146,43.86032,7.31005,-7.31005,6.000002736,1027,6095
TOI-2570 b,2.9887615,0.04145,13.641,0.392,-0.381,260.61929,20.02319,-20.65885,13.0158726,1431,5771
TOI-2583 A b,4.5207265,0.0571,14.46,0.448,-0.37,79.4571,18.43405,-17.79839,4.310344173,1456,5936
TOI-2587 A b,5.45664,0.0635,12.072,0.471,-0.448,69.28659,17.16273,-14.62011,4.037037814,1445,5760
TOI-2589 b,61.6277,0.3,12.106,0.336,-0.336,1112.39942,31.78284,-31.78284,35.00000063,592,5579
TOI-2641 b,4.880974,0.0607,18.103,5.179,-7.174,122.68177,6.99222,-11.44182,17.54546768,1387,6100
TOI-2669 b,6.2034,,19.728,1.793,-1.793,193.87533,60.3874,-60.3874,3.210526202,,4800
TOI-269 b,3.6977104,0.0345,2.77,0.12,-0.12,8.8,1.4,-1.4,6.285714286,531,3514
TOI-270 b,3.3601538,0.03197,1.206,0.039,-0.039,1.58,0.26,-0.26,6.076923077,581,3506
TOI-270 c,5.6605731,0.04526,2.355,0.064,-0.064,6.15,0.37,-0.37,16.62162162,488,3506
TOI-270 d,11.379573,0.0721,2.133,0.058,-0.058,4.78,0.43,-0.43,11.11627907,387,3506
TOI-2803 A b,1.96229325,0.03185,18.114,0.381,-0.359,309.8827,26.37976,-22.24799,11.74698708,1893,6280
TOI-2818 b,4.039709,0.0493,15.278,0.516,-0.504,225.65817,82.63539,-82.63539,2.730769105,1376,5721
TOI-2842 b,3.5514058,0.0475,12.845,0.572,-0.538,117.59651,16.52708,-14.93794,7.115383359,1471,5910
TOI-2977 b,2.3505614,0.03386,13.159,0.347,-0.303,533.95172,82.63539,-79.4571,6.461538089,1544,5691
TOI-3023 b,3.9014971,0.0505,16.432,0.482,-0.359,197.05361,31.78284,-28.60456,6.200000063,1596,5760
TOI-3235 b,2.59261842,0.02709,11.4,0.493,-0.493,211.35589,7.94571,-7.94571,26.6000005,604,3388.8
TOI-332 b,0.777038,0.0159,3.2,0.16,-0.11,57.2,1.6,-1.6,35.75,1871,5251
TOI-3331 A b,2.0180231,0.03144,12.98,0.482,-0.482,721.47048,50.85255,-50.85255,14.18749856,1488,5609
TOI-3362 b,18.09547,0.153,12.801,0.482,-0.46,1598.35906,212.30938,-205.31715,7.528442973,,6532
TOI-3364 b,5.8768918,0.0675,12.229,0.426,-0.359,530.77344,38.13941,-41.31769,13.91666625,1264,5706
TOI-3540 A b,3.119999,0.04289,23.539,,,375.03752,44.49598,-44.49598,8.428570851,1498,5810
TOI-3629 b,3.936551,0.043,8.295,0.224,-0.224,82.63539,6.35657,-6.35657,12.99999685,690,3870
TOI-3688 A b,3.246075,0.0456,13.081,0.538,-0.493,311.47184,31.78284,-34.96112,9.800000252,1534,5950
TOI-3693 b,9.088516,0.0813,12.599,0.325,-0.258,324.18498,76.27882,-69.92225,4.249999934,801,5321
TOI-3714 b,2.154849,0.027,11.321,0.336,-0.336,222.47988,9.53485,-9.53485,23.33333823,750,3660
TOI-3757 b,3.438753,0.03845,12,0.4,-0.5,85.3,8.8,-8.7,9.693181818,759,3913
TOI-3785 b,4.6747373,0.043,5.14,0.16,-0.16,14.95,4.1,-3.92,3.646341463,582,3576
TOI-3819 b,3.2443141,0.04611,13.137,0.404,-0.392,352.78953,57.20911,-63.56568,6.166666987,1633,5859
TOI-3884 b,4.5445697,0.0354,6,0.18,-0.18,16.5,3.5,-1.8,4.714285714,463,3269
TOI-3912 b,3.4936264,0.0463,14.28,0.46,-0.448,129.03833,22.56582,-21.61233,5.718308929,1512,5725
TOI-3976 A b,6.607662,0.0743,12.274,0.404,-0.392,55.61997,11.75965,-11.44182,4.729730051,1295,5975
TOI-3984 A b,4.353326,0.041,7.9,0.24,-0.24,44,8.7,-8,5.057471264,563,3476
TOI-4010 b,1.348335,0.0229,3.02,0.08,-0.08,11,1.29,-1.27,8.527131783,1441,4960
TOI-4010 c,5.414654,0.058,5.93,0.11,-0.12,20.31,2.13,-2.11,9.535211268,907,4960
TOI-4010 d,14.70886,0.113,6.18,0.14,-0.15,38.15,3.27,-3.22,11.66666667,650,4960
TOI-4087 b,3.1774835,0.04469,13.047,0.28,-0.269,232.01474,44.49598,-44.49598,5.214285425,1458,6060
TOI-4127 b,56.39879,0.3081,12.285,0.437,-0.359,731.00534,34.96112,-34.96112,20.90909387,605,6096
TOI-4137 b,3.8016122,0.05222,13.574,0.448,-0.437,457.67291,54.03083,-47.67426,8.470588181,1570,6202
TOI-4145 A b,4.0664428,0.04823,13.305,0.359,-0.347,136.66622,41.31769,-41.31769,3.307692661,1074,5281
TOI-4201 b,3.5819194,0.04,13.675,0.448,-0.448,788.21445,28.60456,-28.60456,27.55555233,725,3794
TOI-421 b,5.19672,0.056,2.68,0.19,-0.18,7.17,0.66,-0.66,10.86363636,981,5325
TOI-421 c,16.06819,0.1189,5.09,0.16,-0.15,16.42,1.06,-1.04,15.49056604,674,5325
TOI-431 b,0.490047,0.0113,1.28,0.04,-0.04,3.07,0.35,-0.35,8.771428571,1862,4850
TOI-431 d,12.46103,0.098,3.29,0.09,-0.09,9.9,1.53,-1.49,6.470588235,633,4850
TOI-4329 b,2.9223,,16.813,2.13,-2.13,143.02278,28.60456,-28.60456,4.999999301,,6000
TOI-4406 b,30.08364,0.201,11.209,0.224,-0.224,95.34852,9.53485,-9.53485,10.0000021,904,6219
TOI-4463 A b,2.8807198,0.04036,13.26,0.717,-0.504,252.35576,12.39531,-12.71314,20.35897126,1395,5640
TOI-4562 b,225.11781,0.768,12.53,0.15,-0.15,732,152,-149,4.815789474,318,6096
TOI-4582 b,31.034,,10.536,1.009,-1.345,168.44906,15.89142,-15.89142,10.6000005,,5190
TOI-4603 b,7.24599,0.0888,11.68,0.426,-0.392,4096.80817,184.34048,-181.16219,22.22413748,1677,6264
TOI-4791 b,4.28088,0.0555,12.442,0.56,-0.56,734.18362,101.70509,-104.88337,7.218750015,1472,6058
TOI-481 b,10.33111,0.097,11.097,0.112,-0.112,486.2799,9.5349,-9.5349,51,1370,5735
TOI-4860 b,1.52275959,0.01845,8.474,0.269,-0.269,212.94503,44.49598,-44.49598,4.7857139,624,3390
TOI-500 b,0.548177,0.01189,1.166,0.061,-0.058,1.42,0.18,-0.18,7.888888889,1617,4440
TOI-5153 b,20.33003,0.158,11.882,0.448,-0.448,1036.12061,57.20911,-54.03083,18.1111122,906,6300
TOI-519 b,1.2652328,0.0159,11.545,0.336,-0.336,147.15455,26.06193,-27.9689,5.646341234,687,3322
TOI-5205 b,1.630757,0.0199,11.6,0.3,-0.3,343,18,-17,19.05555556,737,3430
TOI-5293 A b,2.930289,0.034,11.9,0.4,-0.4,170.4,21.8,-21.9,7.816513761,675,3586
TOI-530 b,6.387597,0.052,9.303,0.673,-0.673,127.13136,28.60456,-31.78284,4.444443823,565,3659
TOI-532 b,2.3266508,0.0296,5.82,0.19,-0.19,61.5,9.7,-9.3,6.340206186,867,3927
TOI-5542 b,75.12375,0.332,11.31,0.404,-0.392,419.5335,31.78284,-31.78284,13.20000038,441,5700
TOI-558 b,14.574071,0.1291,12.173,0.46,-0.426,1147.36055,47.67426,-47.67426,24.06666721,1061,6466
TOI-559 b,6.9839095,0.0723,12.229,0.314,-0.28,1910.14873,76.27882,-73.10053,25.04166596,1180,5925
TOI-561 b,0.4465688,0.0106,1.425,0.037,-0.037,2,0.23,-0.23,8.695652174,2310,5372
TOI-561 c,10.778831,0.0884,2.91,0.04,-0.04,5.39,0.69,-0.68,7.811594203,800,5372
TOI-564 b,1.651144,0.02734,11.433,7.958,-3.251,464.98529,31.783,-30.51168,14.63,1714,5640
TOI-5678 b,47.73022,0.249,4.91,0.08,-0.08,20,4,-4,5,513,5485
TOI-615 b,4.6615983,0.0678,18.977,0.583,-0.639,138.25536,27.33324,-26.06193,5.058140199,1666,6850
TOI-622 b,6.402513,0.0708,9.236,0.314,-0.325,96.30201,21.93016,-22.88365,4.391304487,1388,6400
TOI-628 b,3.4095675,0.0486,11.882,0.46,-0.381,2011.8639,92.1707,-98.5273,21.82758621,1586,6250
TOI-640 b,5.0037775,0.06608,19.851,0.673,-0.628,279.6904,50.8528,-50.8528,5.5,1749,6460
TOI-674 b,1.977143,0.025,5.25,0.17,-0.17,23.6,3.3,-3.3,7.151515152,635,3514
