jd,mnvel,errvel,bc,inst,tel
9539.85581,-0.05789,1.25207,0,MXR,MXR_2021
9539.993407,0.17029,1.41954,0,MXR,MXR_2021
9540.051451,-0.10417,1.34401,0,MXR,MXR_2021
9119.989603,5.00251,3.36698,0,IRD,IRD
9120.000354,7.33396,3.74964,0,IRD,IRD
9123.015415,3.34803,3.20727,0,IRD,IRD
9123.02619,-2.53454,3.27144,0,IRD,IRD
9123.037015,-3.10989,3.25166,0,IRD,IRD
9153.023226,1.45815,3.97178,0,IRD,IRD
9153.033987,3.81199,3.7086,0,IRD,IRD
9156.942314,-3.65915,3.88608,0,IRD,IRD
9156.953025,-0.94171,3.90292,0,IRD,IRD
9157.026922,-2.55871,3.92525,0,IRD,IRD
9157.037603,0.69018,3.89372,0,IRD,IRD
9188.868942,0.19361,3.8171,0,IRD,IRD
9188.879625,4.22917,5.18049,0,IRD,IRD
9188.956892,-3.12251,3.16214,0,IRD,IRD
9188.971098,-0.60155,3.54615,0,IRD,IRD
9188.985306,2.67623,3.15498,0,IRD,IRD
9189.797707,4.69888,3.27959,0,IRD,IRD
9189.808401,-1.01831,3.27542,0,IRD,IRD
9189.867771,-3.38189,3.22519,0,IRD,IRD
9189.878453,-2.49124,3.18354,0,IRD,IRD
9242.89031,-1.45462,4.17715,0,IRD,IRD
9242.900989,-0.66657,4.15438,0,IRD,IRD
9242.911671,-0.34946,4.15448,0,IRD,IRD
9242.92235,0.60116,4.3076,0,IRD,IRD
9242.933034,-4.32401,3.85056,0,IRD,IRD
9242.943732,3.55165,4.11464,0,IRD,IRD
9244.837372,-1.96152,4.06539,0,IRD,IRD
9244.848051,0.79696,3.86181,0,IRD,IRD
9244.858748,-2.95755,3.84684,0,IRD,IRD
9244.928065,2.50489,3.84371,0,IRD,IRD
9244.938749,5.42168,3.88618,0,IRD,IRD
9247.74093,0.7175,4.94889,0,IRD,IRD
9247.749498,3.04161,4.66338,0,IRD,IRD
9247.758065,-3.53653,4.7515,0,IRD,IRD
9247.766649,-4.67983,5.35002,0,IRD,IRD
