# Object photometry (observed + model)
#
# Object = TOI1685 
# RA = 068.59396005206 deg
# DEC = 43.03702752863 deg
# Av = 0.000000 
# D (pc) = 37.609 pc
# Model = BT-Settl (CIFIST) 
# Teff = 3400 K
# logg = 5 
# Meta. = 0 
# Chi2 = 265383.64722737 
# Md = 9.1695604224903E-20 
# Ftot = 6.8489314815971E-10 erg/cm2/s
# Ferr = 3.3597631554499E-14 erg/cm2/s
# Fobs/Ftot = 0.60584343017044 
# Nfit = 87 
# e_Teff = 50 K
# e_logg = 0.25 
# e_Meta. = 0 
# Teff_min = 3350 K
# Teff_max = 3450 K
# logg_min = 4.75 
# logg_max = 5.25 
# Meta_min = 0 
# Meta_max = 0 
# err_Av = 0 
# Vgf = 114.66998969886 
# Vgfb = 4.6558076653541 
# Rad1 = 0.50512369497298 
# eRad1 = 0.00036263500131007 
# Rad2 = 0.50150029339189 
# eRad2 = 0.014754707296898 
# M1 = 0.9305245927169 
# eM1 = 0.5356546802338 
# M2 = 0.91722261800596 
# eM2 = 0.53074708098706 
# Lbol = 0.030279711243783 Lsun
# Lberr = 4.4961792747713E-5 Lsun
#
             FilterID         Wavelength               Obs.Flux              Obs.Error                   Flux                  Error                FluxMod    Fitted    Excess    FitExc    UpLim 
        OAJ/JPAS.J0580    5811.1913547963    1.8007277716879E-14    1.1561521099286E-16    1.8007277716879E-14    1.1561521099286E-16    1.8941517522163E-14         1         0       ---      --- 
          GAIA/GAIA3.G    5822.3887136979    3.0533910882893E-14    7.8096935655455E-17    3.0533910882893E-14    7.8096935655455E-17    3.1228398861874E-14         1         0       ---      --- 
        OAJ/JPAS.J0590    5919.7029211705    1.7400914340433E-14    1.0817163587442E-16    1.7400914340433E-14    1.0817163587442E-16    1.1840091573696E-14         1         0       ---      --- 
        OAJ/JPAS.J0600    6009.7573927708    1.7379729861263E-14    1.0857218058446E-16    1.7379729861263E-14    1.0857218058446E-16    1.6937318413325E-14         1         0       ---      --- 
        OAJ/JPAS.J0610    6117.1890380861    1.8078790884993E-14    1.0889398617936E-16    1.8078790884993E-14    1.0889398617936E-16    2.1004607340047E-14         1         0       ---      --- 
        OAJ/JPAS.rSDSS    6194.1925755067    2.3188688069316E-14    1.7697320552013E-17    2.3188688069316E-14    1.7697320552013E-17    1.9393494005007E-14         1         0       ---      --- 
       OAJ/JPLUS.rSDSS    6206.1114569069    2.3278233958684E-14    1.7229560942314E-17    2.3278233958684E-14    1.7229560942314E-17     1.954568463558E-14         1         0       ---      --- 
        OAJ/JPAS.J0620    6208.7900124664     1.996691508056E-14    1.0088286044475E-16     1.996691508056E-14    1.0088286044475E-16    1.3947543986879E-14         1         0       ---      --- 
        OAJ/JPAS.J0630    6312.3060167198    2.3648172476925E-14    9.5048590606956E-17    2.3648172476925E-14    9.5048590606956E-17    1.5244312419834E-14         1         0       ---      --- 
        OAJ/JPAS.J0640    6410.2074493165    2.6991027159669E-14    8.0167686672145E-17    2.6991027159669E-14    8.0167686672145E-17    2.0990820791768E-14         1         0       ---      --- 
