1.22093   4.45791   3.23698     F9VFe-1.5CH-0.7  GJ_9476_A_
1.22328   4.27493   3.05165     F9.5V            GJ_502_
1.22377   4.1884    2.96463     F9.5V            HD_167425_
1.22397   3.07346   1.8495      F2V              GJ_670_A_
1.22398   3.59876   2.37477     F8V              GJ_398.1_
1.22633   4.29404   3.06772     F8.5IV-V         GJ_9583_
1.23109   3.42283   2.19174     F9IV-V           GJ_147_
1.24351   4.39922   3.15571     F9.5V            GJ_17_
1.24926   3.31349   2.06423     F7V              GJ_904_
1.24958   4.40157   3.15198     G0V              GJ_262_
1.25142   4.23162   2.9802      G1.5V            GJ_9223_A_
1.25282   4.33041   3.07759     F9V              HD_108954_
1.25588   4.03051   2.77462     G1.5IV-VFe-1     GJ_197_
1.25725   4.3966    3.13936     G0V              GJ_779_
1.26023   3.85135   2.59112     G0V              GJ_198_
1.26059   4.52724   3.26665     G0V+             GJ_836.7_
1.26144   3.07095   1.80952     F6V              GJ_127_A_
1.26264   3.78074   2.51811     G0V              GJ_124_
1.26275   3.97654   2.71379     G3IV-V           GJ_691_
1.26406   4.42103   3.15697     G0IV-V           GJ_334.2_
1.27058   4.20082   2.93024     G0V              GJ_9189_
1.27135   4.42919   3.15785     F9IV-V           GJ_564_
1.27152   4.45503   3.18351     G0IV             HD_26923_
1.2721    4.13036   2.85825     G0V              HD_212168_
1.27316   4.25493   2.98177     F9V              GJ_1095_
1.2751    4.66344   3.38834     G5V              GJ_620.1_A_
1.27684   3.18072   1.90388     G0V              GJ_97_
1.27871   4.47938   3.20066     G0V              GJ_9320_
1.28543   4.57148   3.28605     G0V              GJ_540.3_
1.28686   3.86622   2.57936     G0-V             GJ_598_
1.28761   4.54858   3.26097     G0-V(k)          HD_7590_
1.28981   3.9978    2.70799     G2VFe-1.8CH-1    GJ_3523_
1.29792   3.24373   1.94581     G1IVb            *_mu.02_Cnc_
1.29887   4.48814   3.18926     G0V              GJ_433.2_A_
1.29988   4.39015   3.09027     G0V              GJ_672_
1.30007   4.47921   3.17914     G2               GJ_417_
1.30427   3.41761   2.11335     F8VFe-2Hdel-1    GJ_602_
1.30755   3.54316   2.23561     G0.5Va           GJ_368_
1.30978   4.39946   3.08967     G0V              GJ_252_
1.31253   4.24503   2.9325      G0VFe+0.4        HD_134060_
1.31753   4.48969   3.17216     G0V              GJ_853_A_
1.31855   4.55669   3.23814     G3V              GJ_788_
1.31938   4.70894   3.38957     G2.5IV-V         GJ_177_
1.32021   4.47564   3.15543     G1V              HD_45270_
1.32317   4.63981   3.31664     G3/5V            GJ_582_
1.32414   4.43775   3.11362     G8IV             GJ_780_
1.32598   4.70131   3.37534     G0.5V            GJ_311_
1.33007   4.45734   3.12728     F9V              GJ_34_A_
1.3364    4.63856   3.30216     G1V              GJ_702.1_
1.33803   4.58083   3.2428      F9V_Fe-0.3       GJ_484_
1.33806   4.71572   3.37766     G5V              GJ_825.2_
1.3392    4.6643    3.3251      G5VFe-1.2CH-1    GJ_132_
1.34073   3.31739   1.97666     G0V              GJ_19_
1.34253   4.46653   3.124       G1V              GJ_9264_
1.3428    4.01627   2.67347     G0+VaFe-1        GJ_606.2_
1.34462   4.94063   3.59602     G2.5VHdel1       GJ_136_
1.34877   4.70802   3.35925     G2VFe-1.0        GJ_812.1_
1.35032   4.51986   3.16954     G2Va             GJ_3394_
1.35203   4.63751   3.28548     G2               GJ_4351_
1.35231   4.73435   3.38204     G1IV             HD_166435_
1.35556   4.75299   3.39742     G1V              GJ_9639_
1.36128   4.58167   3.2204      G1V              GJ_2153_
1.36324   4.68699   3.32375     G0               HD_185414_
1.36408   4.67975   3.31567     G5V              GJ_797_A_
1.37209   4.66244   3.29035     G8/K0(IV)        GJ_9273_
1.3721    4.74859   3.3765      G1.5V            HD_92719_
1.37221   4.3278    2.95559     G2IV             GJ_882_
1.37568   4.59135   3.21567     G2.5V            GJ_9012_
